review,rating,date,bank,source
Good application,4,2025-11-27,CBE,Google Play
It is nice app,5,2025-11-26,CBE,Google Play
best,5,2025-11-25,CBE,Google Play
good app,5,2025-11-25,CBE,Google Play
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play
nice app...,5,2025-11-25,CBE,Google Play
very good banking service and fast service,5,2025-11-24,CBE,Google Play
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play
good,5,2025-11-24,CBE,Google Play
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play
wow,5,2025-11-23,CBE,Google Play
nice,5,2025-11-22,CBE,Google Play
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play
excellent,5,2025-11-22,CBE,Google Play
ዳጊ,5,2025-11-21,CBE,Google Play
absolutely right,5,2025-11-21,CBE,Google Play
mid application it's so annoying,3,2025-11-20,CBE,Google Play
I used morethan one year,4,2025-11-20,CBE,Google Play
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play
"It's great app,I love this app",5,2025-11-20,CBE,Google Play
Nice,5,2025-11-19,CBE,Google Play
suckkkks,1,2025-11-19,CBE,Google Play
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play
I love you this app,5,2025-11-19,CBE,Google Play
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play
make life easy,5,2025-11-19,CBE,Google Play
securr,5,2025-11-19,CBE,Google Play
My most optional bank,5,2025-11-17,CBE,Google Play
5 star,5,2025-11-17,CBE,Google Play
it is fantastic app.,5,2025-11-16,CBE,Google Play
sifen,5,2025-11-16,CBE,Google Play
i like this√,4,2025-11-16,CBE,Google Play
Ok,3,2025-11-16,CBE,Google Play
ጥሩ App ነዉ ። የኔ የግል አስተያየት- Update ወይንም cache cleaning app ሲደረግ ለምንድነዉ ደግመን login ስናደርግ Restricted ሚያደርገዉ ቢስተካከል እንደ ሀሳብ ጥሩ ነዉ። በዛላይ ድጋሚ አክቲቬት ለማስደረግ ከፍለን ..,5,2025-11-15,CBE,Google Play
"Seriously, what’s going on with this app? The ""Pay to Beneficiary"" option is completely disabled for Android users, yet iOS users get full access without restrictions. Why are Android users being treated like second class customers? It’s the same app, the same service, but clearly not the same experience. This kind of platform bias is unacceptable, either give everyone the same features or be transparent about why you’re limiting functionality. Right now, it just feels unfair and frustrating.",1,2025-11-15,CBE,Google Play
Like,5,2025-11-13,CBE,Google Play
Nice and very useful app i like it!,5,2025-11-13,CBE,Google Play
Good,5,2025-11-13,CBE,Google Play
smart app,4,2025-11-12,CBE,Google Play
good App,5,2025-11-12,CBE,Google Play
sync problem may 22 2025 but the date stack on may 8 2025 help pls,5,2025-11-12,CBE,Google Play
ok,5,2025-11-11,CBE,Google Play
cbe is my choice,4,2025-11-11,CBE,Google Play
Awesome,5,2025-11-11,CBE,Google Play
I am not able to transfer. The app is not responding,1,2025-11-11,CBE,Google Play
Very convenient App,5,2025-11-11,CBE,Google Play
excellent but sometimes can not connect,5,2025-11-10,CBE,Google Play
wow apk,5,2025-11-10,CBE,Google Play
best 100 %,5,2025-11-10,CBE,Google Play
bad app,1,2025-11-10,CBE,Google Play
best app,5,2025-11-10,CBE,Google Play
nice app,5,2025-11-10,CBE,Google Play
the app constantly glitches and won't stop loading despite having a decent connection and a cleared cache. telebirr is way better,1,2025-11-10,CBE,Google Play
I can't access it properly I think it needs update,1,2025-11-10,CBE,Google Play
👌👌,5,2025-11-10,CBE,Google Play
best 👌,5,2025-11-10,CBE,Google Play
not Refresh,2,2025-11-10,CBE,Google Play
your statement is not used as wanted,1,2025-11-10,CBE,Google Play
good very good,5,2025-11-09,CBE,Google Play
this is absolute trash why because it's not Woking most time the servers are down even though I'm using 4g data Internet they steal not working they use to work with out even data package now it's trash can't even send money,1,2025-11-09,CBE,Google Play
Bayeee galatooma kana caalati nu gammachisa 🌏🤌🏻💴💸🥰👌🏻🙏🏻,5,2025-11-08,CBE,Google Play
Good !,5,2025-11-08,CBE,Google Play
i like it,5,2025-11-08,CBE,Google Play
Very nice app,5,2025-11-08,CBE,Google Play
the app is not functional this week.,4,2025-11-08,CBE,Google Play
very updated bank,5,2025-11-06,CBE,Google Play
tankyu,5,2025-11-05,CBE,Google Play
Numbers 2 and 3 don't write during pin verification.,5,2025-11-05,CBE,Google Play
"once it is uninstalled, you need to visit a nearby bank. you go there and they ask you to have a new sim card which hasn't been used before. so you should buy a new sim card and you go back to them with a new sim card, when you reach there service provider says authentication pin is not arrive, the system is not working come back tomorrow.",1,2025-11-05,CBE,Google Play
loved it,5,2025-11-05,CBE,Google Play
this app is not working on my phone,5,2025-11-03,CBE,Google Play
CBE needs to show transaction fees before the transaction is confirmed and not after. This is a big issue as fees are no longer insignificant.,3,2025-11-03,CBE,Google Play
"After the recent updates, I am unable to download a receipt. I can't see the names of account holders I've previously transacted with. Very important. Please fix it asap.",1,2025-11-03,CBE,Google Play
wow 😘😘😘,4,2025-11-02,CBE,Google Play
mobile banking broblem,5,2025-11-01,CBE,Google Play
good job,5,2025-11-01,CBE,Google Play
it is a good and clear apps to use,4,2025-10-31,CBE,Google Play
ለምንድን ነው ከንግድ ባንክ ወደ ቴሌብር 5 ብር ሲተላለፍ 11 ብር እንዲቆርጥ ያደረጋችሁት,1,2025-10-31,CBE,Google Play
I love this app b/c every option in the app very clear and supportive.,5,2025-10-30,CBE,Google Play
niiceh,5,2025-10-29,CBE,Google Play
the app is good but their is no dark mode you have to add it,3,2025-10-29,CBE,Google Play
🤮,1,2025-10-29,CBE,Google Play
abdulakim abrahim elemoo,5,2025-10-29,CBE,Google Play
strong,5,2025-10-28,CBE,Google Play
Abebaw Zenebe,5,2025-10-28,CBE,Google Play
good I love it keep it up but if we had a new update that will be fire Soo good,5,2025-10-27,CBE,Google Play
Cbe,5,2025-10-27,CBE,Google Play
Active and granted system,5,2025-10-27,CBE,Google Play
fast app,4,2025-10-27,CBE,Google Play
cool 😎,5,2025-10-27,CBE,Google Play
Galaxy A10s,3,2025-10-26,CBE,Google Play
the best apps,5,2025-10-26,CBE,Google Play
arif app new,5,2025-10-26,CBE,Google Play
laga Bari biranch,5,2025-10-26,CBE,Google Play
ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,CBE,Google Play
I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,CBE,Google Play
Attractive,5,2025-10-25,CBE,Google Play
mite,5,2025-10-24,CBE,Google Play
useful,5,2025-10-24,CBE,Google Play
"not good, not bad!",3,2025-10-23,CBE,Google Play
very good,5,2025-10-23,CBE,Google Play
እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,CBE,Google Play
imp,5,2025-10-22,CBE,Google Play
super fast app,5,2025-10-21,CBE,Google Play
"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,CBE,Google Play
cbe,4,2025-10-18,CBE,Google Play
"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,CBE,Google Play
blah blah blah,5,2025-10-18,CBE,Google Play
bad ግዴታ መሆንሁ,1,2025-10-17,CBE,Google Play
CBE no.1,5,2025-10-17,CBE,Google Play
"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,CBE,Google Play
its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,CBE,Google Play
gooof,5,2025-10-16,CBE,Google Play
"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,CBE,Google Play
Best app,5,2025-10-16,CBE,Google Play
still not perfect like before,1,2025-10-15,CBE,Google Play
This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,CBE,Google Play
APPLIED,1,2025-10-14,CBE,Google Play
10 years ago,4,2025-10-14,CBE,Google Play
Asefa Obsa,5,2025-10-14,CBE,Google Play
it's good app,5,2025-10-14,CBE,Google Play
very slow,1,2025-10-14,CBE,Google Play
berhan deriba wami,4,2025-10-14,CBE,Google Play
mahamad Usman,5,2025-10-13,CBE,Google Play
Erako,5,2025-10-13,CBE,Google Play
🔥🔥🔥🔥🔥,5,2025-10-13,CBE,Google Play
opne,5,2025-10-13,CBE,Google Play
mehommd nuri,5,2025-10-13,CBE,Google Play
Best,5,2025-10-12,CBE,Google Play
providing very secure service.,5,2025-10-12,CBE,Google Play
apk አሪፍ ነው ግን በጣም apkwun የሚከፍቱ የ ባንክ ሰራተኞች በጣም ደካማ ናቸው ሲያስተናግዱ ለ ደንበኛ ክብር የላቸውም እኔ መመላለስ ከጀመርኩ ቆየው ግን መፍትህ ላገኝ አልችልኩም ::,1,2025-10-12,CBE,Google Play
ዳር ኑሮ ላለው ኣፍሪቻን ው,5,2025-10-12,CBE,Google Play
RIYAD Mohammed Abaoli 92 527 2567,5,2025-10-12,CBE,Google Play
it doesn't show bank statement and no options to see transactions for the past months.,2,2025-10-12,CBE,Google Play
Mamma Husen,2,2025-10-11,CBE,Google Play
3 stars because I can't see all my transaction history apart from the recents and a refresh button has been removed from the Recents activity. The app should allow clients to view all of the transactions not just recents.,3,2025-10-11,CBE,Google Play
exceptional application from others bank,5,2025-10-10,CBE,Google Play
"it is very nice. but i have a serious suggestion when you send to other cbe birr customer, it does not show the name of the recipient befor it actually send the money. please improve this",4,2025-10-10,CBE,Google Play
good👍👍👍😊😊😊,5,2025-10-10,CBE,Google Play
really good app,5,2025-10-10,CBE,Google Play
smart bank CBE,5,2025-10-10,CBE,Google Play
Ali urgesa11,3,2025-10-09,CBE,Google Play
it's good,5,2025-10-09,CBE,Google Play
Good apps,5,2025-10-09,CBE,Google Play
password በጣት አሻራ ቢኖረው መልካም ነበር,4,2025-10-09,CBE,Google Play
best app i ever seen,5,2025-10-09,CBE,Google Play
it's game changing in financial system,4,2025-10-09,CBE,Google Play
"z,MKT 20_._!8+⅓⅕😘r",1,2025-10-09,CBE,Google Play
will good updating,5,2025-10-09,CBE,Google Play
"service charge , vat, fee everything here is not yours they wanna take what you have, everything is not fair",1,2025-10-08,CBE,Google Play
why removing screenshot feature why?,2,2025-10-08,CBE,Google Play
very good application! thank you all who participate!,5,2025-10-08,CBE,Google Play
application bank commercial Ethiopia I am very happy to be able to appear in a great job on a pleasant job,5,2025-10-08,CBE,Google Play
user compatible app!,5,2025-10-08,CBE,Google Play
"I am trying to access this app on my Android phone, but sometimes doesn't work. so kindly try to improve it.",3,2025-10-07,CBE,Google Play
what an amazing app. you know how much it simplify life. Thanks cbe. I proud of you.,5,2025-10-07,CBE,Google Play
Our Commercial Bank of Ethiopia is Good !,5,2025-10-06,CBE,Google Play
Asledin Ibsa,5,2025-10-06,CBE,Google Play
terrible when showing history of transaction it shows in disorganised way,3,2025-10-05,CBE,Google Play
my bank,5,2025-10-05,CBE,Google Play
not user friendly at all it requires a huge connectivity and also lags many times 😑😑😑,1,2025-11-26,BOA,Google Play
ምንም የማይ ሰራ,1,2025-11-26,BOA,Google Play
very good,5,2025-11-25,BOA,Google Play
most of the time is not working properly,1,2025-11-25,BOA,Google Play
good service,5,2025-11-25,BOA,Google Play
not use for me,3,2025-11-23,BOA,Google Play
It keeps notifying me to disable developer options and quiet while I'm not enabled. always bring another type of problem with new updates.,1,2025-11-22,BOA,Google Play
waw,5,2025-11-21,BOA,Google Play
the lag is unbelievable when you need it the most this suks,1,2025-11-19,BOA,Google Play
I cant belive I could find the worst bank app ever .yet very simple to fix the problem and the company just ignored it. no body can do business with this kind of app.,1,2025-11-18,BOA,Google Play
it is a good app,5,2025-11-18,BOA,Google Play
it is not working at all,1,2025-11-15,BOA,Google Play
🥰🥰🥰🥰🥰 app is good but i was live in abroad and when i enter my otp code it didnt make me to write my code it the app want it self write thats not fair so please other wise i like it why,5,2025-11-15,BOA,Google Play
when trying to activate the app it keeps on loading on the security questions page. It has been two days,1,2025-11-13,BOA,Google Play
fast and simple,5,2025-11-11,BOA,Google Play
best of best,5,2025-11-10,BOA,Google Play
Worest Banking App Ever I seen. Fake App Bad Better to Leave,1,2025-11-10,BOA,Google Play
good,4,2025-11-10,BOA,Google Play
"I would like to share feedback regarding the application. It frequently experiences disruptions and does not function properly, often freezing or failing to load. This issue is affecting workflow and efficiency. Kindly review and address this problem to ensure smoother performance.",1,2025-11-08,BOA,Google Play
Meet you genuine.App I tried is not functional.Helping.welldoingwith BOA Ethiopia .fastandrelevant.morconnecting Digitalyworld.Digitalyworld. thanks.,5,2025-11-08,BOA,Google Play
best app,5,2025-11-08,BOA,Google Play
Best app,5,2025-11-07,BOA,Google Play
"Barely works, it always fails to connect",1,2025-11-07,BOA,Google Play
my fav app,5,2025-11-07,BOA,Google Play
this app launch time is so long also has dozen bugs in addition it's has been long time get update,1,2025-11-05,BOA,Google Play
very nice,5,2025-11-04,BOA,Google Play
"Your application is very irritating to use, some functionality doesn't even work like on the card management. You need to do better than this and it good idea to reference other banking applications.",3,2025-11-04,BOA,Google Play
I like,5,2025-11-02,BOA,Google Play
ወይ አሻሽሉትና እንጠቀምበት ያለያ ብታጠፉት ይሻላል። በቃ ምንም ነገር አይሰራም መተግበሪያ አለን ብላችሁ እንዳታወሩ ለማንም የማይመከር ቀርፋፋና ተግባር የለሽ መተግበሪያ,1,2025-11-01,BOA,Google Play
i m sorry but it doesn't work for my android it is too slow but other bank are very fast please update,1,2025-10-30,BOA,Google Play
"the worst app ever,",1,2025-10-30,BOA,Google Play
better,5,2025-10-29,BOA,Google Play
"I kindly request that Bank of abyssinia address issues with its mobile app. It is very slow, has numerous problems, and frequently experiences downtime. The user experience is also poor. Thank you.",1,2025-10-28,BOA,Google Play
this app can't open? what is problem? please solve my problem?,1,2025-10-28,BOA,Google Play
kiyaa makonn,5,2025-10-27,BOA,Google Play
very very lazy app,1,2025-10-26,BOA,Google Play
telebirr remittance,5,2025-10-24,BOA,Google Play
The best bank in 🇪🇹,5,2025-10-23,BOA,Google Play
its good,5,2025-10-22,BOA,Google Play
the worst app in my financial experience.,1,2025-10-22,BOA,Google Play
good for mb appliciation,5,2025-10-21,BOA,Google Play
the worst bank ever. slow don't accept dual sim. they are very stupid and greedy,1,2025-10-20,BOA,Google Play
try to easy network,4,2025-10-17,BOA,Google Play
hussen hassen umer,5,2025-10-16,BOA,Google Play
"The app is not suitable and lacks a good UI design. As a large bank, you must update your app with a professional UI that is fast and appropriate.",2,2025-10-16,BOA,Google Play
an exceptional banking app.,5,2025-10-16,BOA,Google Play
alhamdulilah,5,2025-10-11,BOA,Google Play
poor,5,2025-10-11,BOA,Google Play
Best of best,5,2025-10-09,BOA,Google Play
from the last week updates the app is not working Please check the problems,1,2025-10-08,BOA,Google Play
It's always crushing,1,2025-10-08,BOA,Google Play
office branches have to improve their services please,4,2025-10-07,BOA,Google Play
♥️♥️,5,2025-10-05,BOA,Google Play
Why does it keep crashing? I can't even use this. BOA should do better. You have many customers and how to deal with this. I can't send money now.,1,2025-10-05,BOA,Google Play
it needs a timely update,5,2025-10-03,BOA,Google Play
"It does not show the name of the person who sent the money to request a receipt. This has become very difficult for us. When different people transfer the same amount to me from different banks, it is very difficult to identify the account or the name of the sender.",3,2025-10-01,BOA,Google Play
Like,5,2025-10-01,BOA,Google Play
I can't type my otp on it.,1,2025-10-01,BOA,Google Play
