bank,review,rating,date,source
Commercial Bank of Ethiopia (CBE),please update and play working apk,5,2026-02-17 20:29:18,Google Play
Commercial Bank of Ethiopia (CBE),very nice App,5,2026-02-17 19:48:36,Google Play
Commercial Bank of Ethiopia (CBE),"Great App!!! Some times it may become busy,but that is not Problem of the company that type of problem is network case....",5,2026-02-17 19:09:25,Google Play
Commercial Bank of Ethiopia (CBE),it's nice app for me,5,2026-02-17 16:10:57,Google Play
Commercial Bank of Ethiopia (CBE),I like it very much.Thank you,5,2026-02-17 15:35:29,Google Play
Commercial Bank of Ethiopia (CBE),good👍,5,2026-02-17 13:49:49,Google Play
Commercial Bank of Ethiopia (CBE),good,5,2026-02-16 17:39:12,Google Play
Commercial Bank of Ethiopia (CBE),ok,5,2026-02-16 17:12:48,Google Play
Commercial Bank of Ethiopia (CBE),very good,5,2026-02-16 16:33:16,Google Play
Commercial Bank of Ethiopia (CBE),great app,5,2026-02-16 13:27:58,Google Play
Commercial Bank of Ethiopia (CBE),the latest update makes the keyboard unpleasant and confusing.,1,2026-02-16 12:18:44,Google Play
Commercial Bank of Ethiopia (CBE),very nice app,5,2026-02-16 12:10:37,Google Play
Commercial Bank of Ethiopia (CBE),best 👍,5,2026-02-16 11:42:04,Google Play
Commercial Bank of Ethiopia (CBE),technitional,5,2026-02-16 06:49:46,Google Play
Commercial Bank of Ethiopia (CBE),it a best app,5,2026-02-16 01:54:09,Google Play
Commercial Bank of Ethiopia (CBE),Fantastic,5,2026-02-15 19:10:07,Google Play
Commercial Bank of Ethiopia (CBE),"since the application updated, i couldn't use the it properly . now it stucked and loading but not working I was even trying to contact thru online help/chat box on the app, but no one's responding. such a poor service.",1,2026-02-14 18:14:31,Google Play
Commercial Bank of Ethiopia (CBE),ጥሩ ነው,4,2026-02-14 13:39:48,Google Play
Commercial Bank of Ethiopia (CBE),not functional too boring,5,2026-02-14 10:55:10,Google Play
Commercial Bank of Ethiopia (CBE),nice,4,2026-02-14 07:51:31,Google Play
Commercial Bank of Ethiopia (CBE),it is the worst one ever seen in my life because unless you have updated it can not work completely and if you update it you must go to the nearest bank always for that i give it one star,1,2026-02-13 20:23:40,Google Play
Commercial Bank of Ethiopia (CBE),that is very nice,4,2026-02-13 20:17:53,Google Play
Commercial Bank of Ethiopia (CBE),nice bank and app,4,2026-02-13 12:39:51,Google Play
Commercial Bank of Ethiopia (CBE),"look my app don,t hack",5,2026-02-13 00:16:13,Google Play
Commercial Bank of Ethiopia (CBE),good,5,2026-02-12 21:29:09,Google Play
Commercial Bank of Ethiopia (CBE),Good banK,5,2026-02-12 14:59:32,Google Play
Commercial Bank of Ethiopia (CBE),"CBE Mobile Banking: Easy to Use! Fast, Efficient, ""#All_in_One"" Symbol - (Bank of Ethiopia)! Genuine & Huge Efforts in Progress to Modernize its Allrounded Services so as to Secure an Image/Symbol of Rise of Ethiopia, Like the EAL, GERD Jiants. Looking Forward to Seeing this Initiative Becomes a Reality Sooner than Latter!",5,2026-02-12 10:34:46,Google Play
Commercial Bank of Ethiopia (CBE),wow,5,2026-02-12 09:40:52,Google Play
Commercial Bank of Ethiopia (CBE),update error waiting the next update,2,2026-02-12 08:21:35,Google Play
Commercial Bank of Ethiopia (CBE),nice,5,2026-02-11 18:47:09,Google Play
Commercial Bank of Ethiopia (CBE),good,5,2026-02-11 17:19:59,Google Play
Commercial Bank of Ethiopia (CBE),great,5,2026-02-11 17:03:11,Google Play
Commercial Bank of Ethiopia (CBE),Thanks for this convenient and simple and very reliable application.,5,2026-02-11 14:31:47,Google Play
Commercial Bank of Ethiopia (CBE),very satisfied with it,5,2026-02-11 10:09:09,Google Play
Commercial Bank of Ethiopia (CBE),fast,5,2026-02-11 08:45:53,Google Play
Commercial Bank of Ethiopia (CBE),Good,5,2026-02-11 08:33:18,Google Play
Commercial Bank of Ethiopia (CBE),i heat app,2,2026-02-10 23:31:10,Google Play
Commercial Bank of Ethiopia (CBE),daown load,1,2026-02-10 15:49:14,Google Play
