review,rating,date,bank,source,sentiment_label,sentiment_score,themes
Good application,4,2025-11-27,CBE,Google Play,positive,0.4404,Other
It is nice app,5,2025-11-26,CBE,Google Play,positive,0.4215,Other
best,5,2025-11-25,CBE,Google Play,positive,0.6369,Other
good app,5,2025-11-25,CBE,Google Play,positive,0.4404,Other
"it suddenly asked me to enter the verification key I received. and it (*get your verification key from the nearest CBE Branch*) Now I'm in Australia, what do you expect me to do???! There is no nearest or furthermost cbe Branch!! SO FRUSTRATING! How can I manage my bank account now????",1,2025-11-25,CBE,Google Play,negative,-0.8979,Account Access Issues
nice app...,5,2025-11-25,CBE,Google Play,positive,0.4215,Other
very good banking service and fast service,5,2025-11-24,CBE,Google Play,positive,0.4927,Customer Support
thanks blc this app help me to use all time,5,2025-11-24,CBE,Google Play,positive,0.6808,Customer Support
good,5,2025-11-24,CBE,Google Play,positive,0.4404,Other
why we can't send money to other people telebirr wallets??,1,2025-11-24,CBE,Google Play,neutral,0.0,Other
አታፍሩም ግን ለ15 birr 11.50 ብር ስትቆርጡ ይስተካከልልን,1,2025-11-23,CBE,Google Play,neutral,0.0,Other
በጣም ቀላልና ምቹ ነው።,5,2025-11-23,CBE,Google Play,neutral,0.0,Other
wow,5,2025-11-23,CBE,Google Play,positive,0.5859,Other
nice,5,2025-11-22,CBE,Google Play,positive,0.4215,Other
you are the reason why i got ye chogara himem,1,2025-11-22,CBE,Google Play,neutral,0.0,Other
it is so smart app i recommend it for everyone,5,2025-11-22,CBE,Google Play,positive,0.7177,Other
excellent,5,2025-11-22,CBE,Google Play,positive,0.5719,Other
ዳጊ,5,2025-11-21,CBE,Google Play,neutral,0.0,Other
absolutely right,5,2025-11-21,CBE,Google Play,neutral,0.0,Other
mid application it's so annoying,3,2025-11-20,CBE,Google Play,negative,-0.541,Other
I used morethan one year,4,2025-11-20,CBE,Google Play,neutral,0.0,Other
no word can explane about this app it is nice 👍👍👍👍👍,5,2025-11-20,CBE,Google Play,positive,0.1531,Other
"It's great app,I love this app",5,2025-11-20,CBE,Google Play,positive,0.8519,Other
Nice,5,2025-11-19,CBE,Google Play,positive,0.4215,Other
suckkkks,1,2025-11-19,CBE,Google Play,neutral,0.0,Other
not allowing to transfer and showing current statement updates.,1,2025-11-19,CBE,Google Play,neutral,0.0,"Transaction Performance, Feature Requests"
I love you this app,5,2025-11-19,CBE,Google Play,positive,0.6369,Other
"fast and convenient app, thanks for your dedication as a bank to provide good options to your cuatomers.",1,2025-11-19,CBE,Google Play,positive,0.7003,Other
make life easy,5,2025-11-19,CBE,Google Play,positive,0.4404,Other
